IME;SIFRA;VREDNOST
LVZN;0000;OSTALO
LVZN;0001;ADLER
LVZN;0002;AER DIESEL
LVZN;0003;AEROMACCHI
LVZN;0004;A.J.S.
LVZN;0005;ALFA ROMEO
LVZN;0006;AMC
LVZN;0007;AMICA
LVZN;0008;ANCILLOTTI
LVZN;0009;APECAR
LVZN;0010;APRILIA
LVZN;0011;ARDIE
LVZN;0012;ARIEL
LVZN;0013;ARO
LVZN;0014;AUDI
LVZN;0015;AUSTIN
LVZN;0016;AUTO UNION
LVZN;0017;AUTO BIANCHI
LVZN;0018;AVALA
LVZN;0019;AVIA
LVZN;0020;AVTOBUSI
LVZN;0021;AVTOMONTAŽA
LVZN;0022;BEDFORD
LVZN;0023;BENELLI
LVZN;0024;BERLIET
LVZN;0025;BIANCHI
LVZN;0026;BIMOTA
LVZN;0027;BLAW KNOX
LVZN;0028;BLMC
LVZN;0029;BMW
LVZN;0030;BORGWARD
LVZN;0031;BSA
LVZN;0032;BUICK
LVZN;0033;BUSSING
LVZN;0034;CADILLAC
LVZN;0035;CAGIVA
LVZN;0036;CAPRI
LVZN;0037;CASALINI
LVZN;0038;CECCATO
LVZN;0039;CG
LVZN;0040;CHEVROLET
LVZN;0041;CHRYSLER
LVZN;0042;CIMOS
LVZN;0043;CITROEN
LVZN;0044;CSEPEL
LVZN;0046;DACIA
LVZN;0047;DAEWOO
LVZN;0048;DAF
LVZN;0049;DAIHATSU
LVZN;0050;DAIMLER
LVZN;0051;DATSUN
LVZN;0052;DE TOMASO
LVZN;0053;DELOVNA VOZILA
LVZN;0054;DEUTZ
LVZN;0055;DKW
LVZN;0056;DODGE
LVZN;0057;DOMAČE DELO
LVZN;0058;DUCATI
LVZN;0059;DUNAVIA
LVZN;0060;DURKOPP
LVZN;0061;EAGLE PREMIER
LVZN;0062;ENFIELD
LVZN;0063;FANTIC
LVZN;0064;FAP
LVZN;0065;FAUN-WERKE
LVZN;0066;FERRARI
LVZN;0067;FIAT
LVZN;0068;FORD
LVZN;0069;FULDAMOBIL
LVZN;0070;GARELLI
LVZN;0071;GILERA
LVZN;0072;GLAS ISARIA
LVZN;0073;GMC
LVZN;0074;GOGGO
LVZN;0075;GOLIATH WERKE
LVZN;0076;GUAZZONI
LVZN;0077;GUZZI
LVZN;0078;HANOMAG
LVZN;0079;HARLEY DAVIDSON
LVZN;0080;HEINKEL
LVZN;0081;HENSCHEL
LVZN;0082;HERCULES
LVZN;0083;HILLMAN
LVZN;0084;HOFFMAN
LVZN;0085;HONDA
LVZN;0086;HOREX
LVZN;0087;HUSQVARNA
LVZN;0088;HYUNDAI
LVZN;0089;IDA
LVZN;0090;IFA
LVZN;0091;IKARUS
LVZN;0092;I.L.O.
LVZN;0093;IMV
LVZN;0094;INDIJAN
LVZN;0095;INNOCENTI
LVZN;0096;INTERNATIONAL
LVZN;0097;ISO RIVOLTA
LVZN;0098;ISUZU
LVZN;0099;IVECO
LVZN;01000;WIESE
LVZN;0101;JAGUAR
LVZN;0102;JAWA
LVZN;0103;JEEP
LVZN;0104;JELCZ
LVZN;0105;KAMAZ
LVZN;0106;KAWASAKI
LVZN;0107;KLOCKNER HUMBOLDT DEUTZ
LVZN;1688;ZAMPERLA
LVZN;1689;SONIK
LVZN;1690;YIYING
LVZN;1691;LEGRAS
LVZN;1692;JMSTAR
LVZN;1693;CORVETTE
LVZN;1694;QUOROS
LVZN;1695;O&K
LVZN;1696;BLYSS
LVZN;1697;WAROQUIER
LVZN;1698;TRAMP TRAIL
LVZN;1699;DREAM PITBIKES
LVZN;1700;PEDA
LVZN;1701;LINDANA
LVZN;1702;HONGYI
LVZN;1703;TESLA
LVZN;1704;MCLOUIS
LVZN;1705;DON-BUR
LVZN;1706;JINLUN
LVZN;1707;AGCO ALLIS
LVZN;1708;ARGO
LVZN;1709;ALEXANDER DENNIS
LVZN;1710;ALPINA
LVZN;1711;ASQUITH
LVZN;1712;ATKINSON(SEDDON)
LVZN;1713;AVANTI
LVZN;1714;BAJAJ
LVZN;1715;BURSTNER
LVZN;1716;CAN-AM
LVZN;1717;CATERHAM CARS
LVZN;1718;CI MOTORHOME
LVZN;1719;WAZ
LVZN;1720;YAMOTO
LVZN;1721;LONGJIA
LVZN;1722;VONROAD
LVZN;1723;TAURIS
LVZN;1724;SKYTEAM
LVZN;1725;DS
LVZN;1726;JIAJUE
LVZN;1727;LINTEX
LVZN;1728;ZNEN
LVZN;1729;SUPERKING
LVZN;1730;CH RACING
LVZN;1731;ZHEIJANG YONGKANG
LVZN;1732;MZSA
LVZN;1733;MOTORFLEX
LVZN;1734;EUROTRAILER
LVZN;1735;NITRO MOTORS
LVZN;1736;EDUARDS
LVZN;1737;CSR
LVZN;1738;NICOM
LVZN;1739;NOOMA
LVZN;1740;MRAK
LVZN;1741;CUPRA
LVZN;1742;POLESTAR
LVZN;1743;HANGLONG
LVZN;1744;INDESPENSION
LVZN;1745;SHERCO
LVZN;1746;KUTSENITS
LVZN;1747;YCF
LVZN;1748;SMARTELEKTRO
LVZN;1749;FMG
LVZN;0736;MAJEVICA
LVZN;0737;MAJOR
LVZN;0738;MANNESMANN
LVZN;0739;MARTIMEX KOMPLET
LVZN;0740;MARTIN HANKE
LVZN;0741;MARTIN KOMPLEX
LVZN;0742;MAYERBOCK
LVZN;0743;MAZUHELI
LVZN;0744;MECHANIKA
LVZN;0745;MEIER
LVZN;0746;MEIER BUERSTADT
